Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
39,45,4,7,2,528
39,45,2,7,2,529
39,45,2,7,2,538
39,45,3,7,2,548
39,46,1,8,3,35
39,46,3,8,3,79
39,46,4,8,3,85
39,46,1,8,3,111
39,46,4,8,3,114
39,46,3,8,3,127
39,46,1,8,3,140
39,46,2,8,3,174
39,46,2,8,3,190
39,46,1,8,3,285
39,46,1,8,3,304
39,46,1,8,3,327
39,46,4,8,3,370
39,46,1,8,3,374
39,46,3,8,3,397
39,46,3,8,3,420
39,46,3,8,3,443
39,46,2,8,3,453
39,46,3,8,3,482
39,46,4,8,3,506
39,46,1,8,3,529
39,46,1,8,3,530
39,46,1,8,3,538
39,47,1,9,4,111
39,47,3,9,4,113
39,47,1,9,4,114
39,47,1,9,4,127
39,47,3,9,4,174
39,47,1,9,4,192
39,47,1,9,4,197
39,47,1,9,4,198
39,47,4,9,4,200
39,47,2,9,4,285
39,47,3,9,4,341
39,47,2,9,4,363
39,47,3,9,4,374
39,47,2,9,4,397
39,47,2,9,4,443
39,47,4,9,4,453
39,47,2,9,4,482
39,48,4,10,5,0
39,48,4,10,5,35
39,48,3,10,5,80
39,48,3,10,5,154
39,48,3,10,5,174
39,48,2,10,5,187
39,48,1,10,5,198
39,48,4,10,5,199
39,48,2,10,5,260
39,48,3,10,5,269
39,48,1,10,5,285
39,48,4,10,5,290
39,48,4,10,5,314
39,48,1,10,5,363
39,48,1,10,5,397
39,48,2,10,5,413
39,48,2,10,5,434
39,48,1,10,5,443
39,48,3,10,5,453
39,48,4,10,5,465
39,48,1,10,5,482
39,48,2,10,5,548
39,49,3,11,6,26
39,49,4,11,6,59
39,49,1,11,6,85
39,49,1,11,6,103
39,49,2,11,6,111
39,49,2,11,6,138
39,49,3,11,6,154
39,49,4,11,6,161
39,49,2,11,6,170
39,49,2,11,6,173
39,49,1,11,6,174
39,49,1,11,6,187
39,49,1,11,6,198
39,49,3,11,6,255
39,49,1,11,6,259
39,49,1,11,6,260
39,49,3,11,6,290
39,49,3,11,6,314
39,49,1,11,6,413
39,49,2,11,6,420
39,49,2,11,6,453
39,49,3,11,6,465
39,49,4,11,6,498
39,49,1,11,6,528
39,49,2,11,6,544
39,49,2,11,6,548
39,50,2,12,7,13
39,50,2,12,7,24
39,50,3,12,7,34
39,50,1,12,7,78
39,50,2,12,7,79
39,50,2,12,7,125
39,50,3,12,7,155
39,50,2,12,7,168
39,50,3,12,7,169
39,50,2,12,7,189
39,50,2,12,7,194
39,50,4,12,7,200
39,50,2,12,7,224
39,50,2,12,7,255
39,50,2,12,7,269
39,50,3,12,7,290
39,50,1,12,7,301
39,50,1,12,7,304
39,50,2,12,7,370
39,50,2,12,7,374
39,50,4,12,7,387
39,50,4,12,7,388
39,50,2,12,7,408
39,50,1,12,7,420
39,50,2,12,7,463
39,50,2,12,7,465
39,50,2,12,7,470
39,50,3,12,7,498
39,50,2,12,7,510
39,50,1,12,7,530
39,50,2,12,7,537
39,50,1,12,7,544
39,51,4,13,1,25
39,51,3,13,1,168
39,51,1,13,1,189
39,51,2,13,1,190
39,51,3,13,1,192
39,51,1,13,1,194
39,51,4,13,1,198
39,51,1,13,1,200
39,51,1,13,1,224
39,51,3,13,1,269
39,51,3,13,1,285
39,51,2,13,1,290
39,51,4,13,1,304
39,51,3,13,1,314
39,51,3,13,1,327
39,51,3,13,1,387
39,51,3,13,1,388
39,51,3,13,1,408
39,51,4,13,1,420
39,51,3,13,1,453
39,51,3,13,1,527
39,51,3,13,1,529
39,52,3,14,2,25
39,52,2,14,2,154
39,52,4,14,2,192
39,52,3,14,2,205
39,52,2,14,2,224
39,52,3,14,2,269
39,52,2,14,2,285
39,52,2,14,2,290
39,52,3,14,2,299
39,52,3,14,2,304
39,52,2,14,2,314
39,52,2,14,2,327
39,52,2,14,2,374
39,52,2,14,2,408
39,52,2,14,2,434
39,52,2,14,2,453
39,52,2,14,2,529
39,53,3,15,3,25
39,53,3,15,3,79
39,53,4,15,3,94
39,53,2,15,3,112
39,53,4,15,3,114
39,53,1,15,3,154
39,53,1,15,3,161
39,53,4,15,3,163
39,53,2,15,3,174
39,53,4,15,3,176
39,53,3,15,3,188
39,53,1,15,3,191
39,53,4,15,3,194
39,53,2,15,3,197
39,53,1,15,3,224
39,53,1,15,3,269
39,53,1,15,3,285
39,53,1,15,3,290
39,53,2,15,3,299
39,53,4,15,3,301
39,53,1,15,3,314
39,53,1,15,3,327
39,53,1,15,3,374
39,53,2,15,3,408
39,53,1,15,3,453
39,53,1,15,3,506
39,53,3,15,3,510
39,54,2,16,4,25
39,54,2,16,4,79
39,54,3,16,4,109
39,54,1,16,4,110
39,54,2,16,4,113
39,54,2,16,4,127
39,54,3,16,4,194
39,54,2,16,4,195
39,54,3,16,4,224
39,54,3,16,4,273
39,54,4,16,4,290
39,54,1,16,4,299
39,54,3,16,4,301
39,54,4,16,4,327
39,54,3,16,4,334
39,54,2,16,4,363
39,54,4,16,4,374
39,54,3,16,4,408
39,54,3,16,4,453
39,54,1,16,4,506
39,54,4,16,4,525
39,54,4,16,4,530
39,55,1,17,5,25
39,55,2,17,5,26
39,55,2,17,5,79
39,55,1,17,5,111
39,55,3,17,5,112
39,55,3,17,5,169
39,55,1,17,5,170
39,55,3,17,5,188
39,55,2,17,5,191
39,55,3,17,5,194
39,55,2,17,5,196
39,55,1,17,5,200
39,55,3,17,5,224
39,55,4,17,5,272
39,55,3,17,5,290
39,55,2,17,5,292
39,55,4,17,5,295
39,55,2,17,5,299
39,55,2,17,5,322
39,55,1,17,5,363
39,55,1,17,5,449
39,55,3,17,5,453
39,55,3,17,5,472
39,55,4,17,5,506
39,56,2,18,6,26
39,56,1,18,6,47
39,56,1,18,6,102
39,56,2,18,6,112
39,56,2,18,6,150
39,56,2,18,6,154
39,56,1,18,6,170
39,56,2,18,6,188
39,56,3,18,6,194
39,56,3,18,6,200
39,56,1,18,6,267
39,56,2,18,6,269
39,56,2,18,6,290
39,56,4,18,6,292
39,56,1,18,6,299
39,56,3,18,6,314
39,56,1,18,6,322
39,56,2,18,6,397
39,56,2,18,6,408
39,56,2,18,6,453
39,56,2,18,6,472
39,56,1,18,6,525
39,57,2,19,7,26
39,57,1,19,7,94
39,57,1,19,7,124
