Hotel Name,Snapshot Date,Discount Code,Count
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-29,4,15
Magnuson Convention Center Hotel,2015-08-04,2,15
Magnuson Convention Center Hotel,2015-08-11,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-31,4,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-28,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-27,4,15
Westin New York at Times Square,2015-07-29,2,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-29,2,15
Magnuson Convention Center Hotel,2015-08-10,1,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-30,3,15
Westin New York at Times Square,2015-08-04,2,15
Westin New York at Times Square,2015-08-03,2,15
Newark Liberty International Airport Marriott,2015-10-22,3,14
Quality Inn Woodside,2015-10-10,2,14
Hilton Garden Inn Times Square,2015-08-23,3,14
Langham Place New York Fifth Avenue,2015-07-22,2,14
Hampton Inn Manhattan United Nations,2015-07-22,3,14
The Carlyle A Rosewood Hotel,2015-12-11,1,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-28,4,14
Newark Liberty International Airport Marriott,2015-10-20,3,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-26,4,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-28,2,14
Viceroy New York,2016-01-01,2,14
Newark Liberty International Airport Marriott,2015-10-02,3,14
Renaissance Newark Airport Hotel,2015-12-27,3,14
Wyndham Garden Brooklyn Sunset Park,2015-11-09,3,14
Newark Liberty International Airport Marriott,2015-12-25,2,14
Newark Liberty International Airport Marriott,2015-12-25,3,14
Hilton Garden Inn Times Square,2015-09-21,3,14
Newark Liberty International Airport Marriott,2015-12-26,2,14
Newark Liberty International Airport Marriott,2015-12-26,3,14
Park Hyatt New York,2015-07-21,1,14
Viceroy New York,2015-12-31,3,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-27,2,14
Newark Liberty International Airport Marriott,2015-12-28,1,14
Langham Place New York Fifth Avenue,2015-07-22,1,14
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-11,2,14
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-08,2,14
Hilton Garden Inn Times Square,2015-10-01,3,14
Park Hyatt New York,2015-07-27,4,14
Viceroy New York,2015-10-06,4,14
Viceroy New York,2015-10-06,3,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-26,2,14
The Plaza Hotel,2015-10-24,2,14
Park Hyatt New York,2015-07-25,4,14
The Plaza Hotel,2015-10-23,2,14
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-07-30,2,14
Hilton Garden Inn Times Square,2015-08-27,3,14
Hilton Garden Inn Times Square,2015-08-24,3,14
The New York EDITION,2015-07-30,2,14
The Plaza Hotel,2015-10-21,3,14
Loews Regency New York Hotel,2015-07-23,3,14
Renaissance Newark Airport Hotel,2015-12-31,3,14
The Plaza Hotel,2015-10-21,2,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-17,4,14
Newark Liberty International Airport Marriott,2015-10-04,3,14
The Plaza Hotel,2015-10-20,2,14
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-30,2,14
Four Seasons Hotel New York,2015-07-22,2,14
Wyndham Garden Brooklyn Sunset Park,2015-11-07,2,14
Park Hyatt New York,2015-07-26,3,14
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-04,2,14
Park Hyatt New York,2015-07-26,4,14
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-05,2,14
The Carlyle A Rosewood Hotel,2015-12-10,1,14
The Carlyle A Rosewood Hotel,2015-12-10,2,14
